ID,Gender,Race,Age_at_Release,Residence_PUMA,Gang_Affiliated,Supervision_Risk_Score_First,Supervision_Level_First,Education_Level,Dependents,Prison_Offense,Prison_Years,Prior_Arrest_Episodes_Felony,Prior_Arrest_Episodes_Misd,Prior_Arrest_Episodes_Violent,Prior_Arrest_Episodes_Property,Prior_Arrest_Episodes_Drug,Prior_Arrest_Episodes_PPViolationCharges,Prior_Arrest_Episodes_DVCharges,Prior_Arrest_Episodes_GunCharges,Prior_Conviction_Episodes_Felony,Prior_Conviction_Episodes_Misd,Prior_Conviction_Episodes_Viol,Prior_Conviction_Episodes_Prop,Prior_Conviction_Episodes_Drug,Prior_Conviction_Episodes_PPViolationCharges,Prior_Conviction_Episodes_DomesticViolenceCharges,Prior_Conviction_Episodes_GunCharges,Prior_Revocations_Parole,Prior_Revocations_Probation,Condition_MH_SA,Condition_Cog_Ed,Condition_Other,Violations_ElectronicMonitoring,Violations_Instruction,Violations_FailToReport,Violations_MoveWithoutPermission,Delinquency_Reports,Program_Attendances,Program_UnexcusedAbsences,Residence_Changes,Avg_Days_per_DrugTest,DrugTests_THC_Positive,DrugTests_Cocaine_Positive,DrugTests_Meth_Positive,DrugTests_Other_Positive,Percent_Days_Employed,Jobs_Per_Year,Employment_Exempt,Recidivism_Within_3years,Recidivism_Arrest_Year1,Recidivism_Arrest_Year2,Recidivism_Arrest_Year3
1,M,BLACK,43-47,16,false,3,Standard,At least some college,3 or more,Drug,More than 3 years,6,6 or more,1,3,3,4,false,false,3 or more,3,false,2,2 or more,false,false,false,false,false,true,true,false,false,false,false,false,0,6,0,2,612,0,0,0,0,0.488562092,0.447610294,false,false,false,false,false
2,M,BLACK,33-37,16,false,6,Specialized,Less than HS diploma,1,Violent/Non-Sex,More than 3 years,7,6 or more,3 or more,0,3,5 or more,true,false,3 or more,4 or more,true,0,2 or more,true,true,true,false,false,false,false,false,false,true,false,false,4 or more,0,0,2,35.66666667,0,0,0,0,0.425233645,2,false,true,false,false,true
3,M,BLACK,48 or older,24,false,7,High,At least some college,3 or more,Drug,1-2 years,6,6 or more,3 or more,2,2,5 or more,true,false,3 or more,2,true,1,2 or more,false,true,false,false,false,true,true,false,false,true,false,true,4 or more,6,0,0,93.66666667,0.333333343,0,0.166666672,0,0,0,false,true,false,true,false
4,M,WHITE,38-42,16,false,7,High,Less than HS diploma,1,Property,1-2 years,8,6 or more,0,3,3,3,false,false,3 or more,4 or more,false,3 or more,2 or more,false,false,false,false,true,true,true,false,false,false,false,false,0,6,0,3 or more,25.4,0,0,0,0,1,0.718996063,false,false,false,false,false
5,M,WHITE,33-37,16,false,4,Specialized,Less than HS diploma,3 or more,Violent/Non-Sex,1-2 years,4,4,3 or more,2,1,3,true,false,1,0,true,0,1,false,false,false,false,false,true,true,true,false,false,false,false,0,7,0,0,23.11764706,0,0,0.05882353,0,0.203562341,0.929389313,false,true,true,false,false
7,M,BLACK,48 or older,18,false,2,Standard,Less than HS diploma,2,,Less than 1 year,10 or more,6 or more,1,5 or more,1,5 or more,false,true,3 or more,1,false,3 or more,0,true,false,true,false,false,false,false,false,false,false,false,false,0,0,0,1,238.5,0,0,0,0,0,0,false,true,false,false,true
9,F,BLACK,43-47,5,,7,High,High School Diploma,0,Drug,Less than 1 year,10 or more,4,2,5 or more,3,3,false,false,2,4 or more,false,3 or more,2 or more,true,false,false,false,true,true,false,false,false,false,false,false,0,0,0,0,,,,,,0,0,true,true,true,false,false
10,M,BLACK,43-47,16,false,5,Standard,High School Diploma,3 or more,Property,More than 3 years,10 or more,6 or more,3 or more,5 or more,2,5 or more,true,true,3 or more,4 or more,true,3 or more,2 or more,true,true,true,false,false,false,true,true,false,false,false,false,0,0,0,0,27.8,0,0,0,0,0.35971223,1,false,true,true,false,false
11,M,WHITE,43-47,5,false,3,Specialized,Less than HS diploma,1,Violent/Non-Sex,1-2 years,3,6 or more,2,1,1,3,true,false,0,3,false,0,0,true,false,false,true,false,true,true,false,true,true,false,false,0,9,2,2,42.8,0.300000012,0,0.300000012,0,1,3.413551402,true,true,false,true,false
13,M,WHITE,48 or older,18,false,3,Standard,Less than HS diploma,1,Property,More than 3 years,8,4,0,5 or more,2,1,false,false,1,0,false,2,1,false,false,false,false,false,false,false,false,false,false,false,false,0,0,0,1,,0,0,0.016055046,0.002293578,0,,false,false,false,false,false
